scenario,threshold,scale_pos_weight,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,gamma,precision_test,recall_test,f1_test,accuracy_test,roc_auc_test,pr_auc_test,overall_test
FE2_pca,0.15,2.7683946488294313,500,3,0.1,1.0,0.8,3,2.0,1.0,0.37916666666666665,0.9732620320855615,0.545727136431784,0.5699077359829666,0.8429435015112764,0.6484341939228789,0.6573513224020041
FE1_no_pca,0.15,2.7683946488294313,200,3,0.1,1.0,0.8,1,1.0,0.0,0.37763713080168776,0.9572192513368984,0.5416036308623298,0.5699077359829666,0.8405616264951303,0.6628068077901046,0.6503230887813638
FE4_pca_smote,0.39999999999999997,1.0,200,5,0.06,0.8,0.8,5,2.0,0.5,0.4928684627575277,0.8315508021390374,0.618905472636816,0.7281760113555713,0.8341768064274457,0.6410707646861439,0.6782126663005847
FE3_no_pca_smote,0.44999999999999996,1.0,200,3,0.03,1.0,0.8,3,1.0,0.5,0.4959871589085072,0.8262032085561497,0.6198595787362087,0.7310149041873669,0.8413883076287167,0.6514903624143908,0.6777850430339364
